97;ALMACIMEYREM;Almaci;Meyrem;Ecolo-Groen;1
1;BACQUELAINEDANIEL;Bacquelaine;Daniel;MR;68
2;BATTHEUSABIEN;Lahaye-Battheu;Sabien;Open Vld;82
3;BAUCHAUMARIE;de Coster-Bauchau;Sybille;MR;28
4;BECQSONJA;Becq;Sonja;CD&V;2
148;BEKEWOUTER;Beke;Wouter;CD&V;3
112;BELLENSRITA;Bellens;Rita;N-VA;4
5;BENHAMOUNAWAL;Ben Hamou;Nawal;PS;5
6;BLANCHARTPHILIPPE;Blanchart;Philippe;PS;6
7;BOGAERTHENDRIK;Bogaert;Hendrik;CD&V;7
8;BONTEHANS;Bonte;Hans;sp.a;8
113;BRACKESIEGFRIED;Bracke;Siegfried;N-VA;9
9;BROTCORNECHRISTIAN;Brotcorne;Christian;cdH;10
10;BURTONEMMANUEL;Burton;Emmanuel;MR;11
114;BUYSROGGEPETER;Buysrogge;Peter;N-VA;12
170;CALVOKRISTOF;Calvo;Kristof;Ecolo-Groen;13
98;CALVOYCASTAÃ‘ERKRISTOF;Calvo;Kristof;Ecolo-Groen;13
115;CAPOENAN;Capoen;An;N-VA;14
11;CAPRASSEVÃ‰RONIQUE;Caprasse;Véronique;DéFI;15
99;CARCACIALDO;Carcaci;Aldo;PP;16
152;CASSART-MAILLEUXCAROLINE;Cassart-Mailleux;Caroline;MR;17
12;CEYSENSPATRICIA;Ceysens;Patricia;Open Vld;18
149;CHASTELOLIVIER;Chastel;Olivier;MR;19
100;CHERONMARCEL;Cheron;Marcel;Ecolo-Groen;20
157;CLAERHOUTSARAH;Claerhout;Sarah;CD&V;21
13;CLARINVALDAVID;Clarinval;David;MR;22
153;CRUSNIÃˆRESTÃ‰PHANE;Crusnière;Stéphane;PS;23
124;D'HAESECHRISTOPH;D'Haese;Christophe;N-VA;48
14;DAERDENFRÃ‰DÃ‰RIC;Daerden;Frédéric;PS;24
154;DALLEMAGNEGEORGES;Dallemagne;Georges;cdH;25
15;DEBLOCKMAGGIE;De Block;Maggie;Open Vld;74
116;DECONINCKINES;De Coninck;Inez;N-VA;26
175;DECONINCKINEZ;De Coninck;Inez;N-VA;26
16;DECONINCKMONICA;De Coninck;Monica;sp.a;27
168;DECOSTER-BAUCHAUMARIE;de Coster-Bauchau;Sybille;MR;28
176;DECOSTER-BAUCHAUSYBILLE;de Coster-Bauchau;Sybille;MR;28
17;DECREMPIETER;De Crem;Pieter;CD&V;21
18;DECROOALEXANDER;De Croo;Alexander;Open Vld;60
117;DEDECKERPETER;Dedecker;Peter;N-VA;29
101;DEDRIJMARIE;Dedry;Anne;Ecolo-Groen;30
171;DEDRYANNE;Dedry;Anne;Ecolo-Groen;30
151;DEDRYMARIE;Dedry;Marie;Ecolo-Groen;30
118;DEGROOTEKOENRAAD;Degroote;Koenraad;N-VA;31
19;DELANNOISPAUL-OLIVIER;Delannois;Paul-Olivier;PS;33
20;DELIZÃ‰EJEAN-MARC;Delizée;Jean-Marc;PS;34
21;DELPÃ‰RÃ‰EFRANCIS;Delpérée;Francis;cdH;35
22;DEMEYERWILLY;Demeyer;Willy;PS;36
119;DEMIRZUHAL;Demir;Zuhal;N-VA;37
23;DEMONFRANKY;Demon;Franky;CD&V;38
120;DEROOVERPETER;De Roover;Peter;N-VA;39
24;DESEYNROEL;Deseyn;Roel;CD&V;40
25;DETIÃˆGEMAYA;Detiège;Maya;sp.a;41
155;DEVINLAURENT;Devin;Laurent;PS;42
102;DEVRIENDTWOUTER;De Vriendt;Wouter;Ecolo-Groen;43
